DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,Year,Month,Day,LEVEL,Is_quarter_end,Difference,Percent
2015-01-05,129.6,133.95,129.15,133.95,18208740,2015,1,5,lower,0,4.799999999999983,3.5834266517357096
2015-01-06,132.99,138.92,132.71,138.92,25270920,2015,1,6,lower,0,6.2099999999999795,4.4701986754966745
2015-01-08,140.06,147.5,140.0,146.46,32544100,2015,1,8,lower,0,7.5,5.084745762711865
2015-01-09,146.46,147.08,139.9,141.7,29501280,2015,1,9,lower,0,7.180000000000007,4.881697035626874
2015-01-12,141.37,143.44,139.72,140.22,25286750,2015,1,12,lower,0,3.719999999999999,2.593418851087562
2015-01-13,140.2,143.81,139.0,142.64,32912570,2015,1,13,lower,0,4.810000000000002,3.3446909116194994
2015-01-14,141.99,147.5,141.99,146.3,37809840,2015,1,14,lower,0,5.509999999999991,3.735593220338977
2015-01-15,147.51,149.89,145.5,147.0,32827500,2015,1,15,lower,0,4.389999999999986,2.9288144639402143
2015-01-16,145.99,150.2,145.5,149.6,32654610,2015,1,16,lower,0,4.699999999999989,3.1291611185086476
2015-01-19,149.59,152.83,147.59,148.11,53463970,2015,1,19,lower,0,5.240000000000009,3.4286462082052007
2015-01-20,148.3,149.72,145.72,145.75,32708420,2015,1,20,lower,0,4.0,2.6716537536735236
2015-01-21,146.9,149.51,145.92,148.8,29848900,2015,1,21,lower,0,3.5900000000000034,2.40117717878403
2015-01-22,149.01,152.69,148.65,151.5,55798150,2015,1,22,lower,0,4.039999999999992,2.645883816883877
2015-01-23,152.31,152.93,150.36,152.83,37301630,2015,1,23,lower,0,2.569999999999993,1.6805074216961962
2015-01-26,151.94,152.46,146.75,148.0,28731340,2015,1,26,lower,0,5.710000000000008,3.745244654335569
2015-01-27,146.52,152.45,146.11,150.9,37723580,2015,1,27,lower,0,6.339999999999975,4.158740570678895
2015-01-28,151.37,154.47,147.5,147.7,34626110,2015,1,28,lower,0,6.969999999999999,4.5122030167670095
2015-01-29,147.19,149.2,144.49,145.0,33407690,2015,1,29,lower,0,4.7099999999999795,3.156836461125992
2015-01-30,145.56,146.82,142.13,143.82,41065400,2015,1,30,lower,0,4.689999999999998,3.194387685601415
2015-02-02,144.72,145.2,137.43,138.18,59466380,2015,2,2,lower,0,7.769999999999982,5.351239669421475
2015-02-03,139.22,142.3,138.25,140.35,40907380,2015,2,3,lower,0,4.050000000000011,2.846099789177801
2015-02-04,141.22,143.8,139.43,142.6,29493190,2015,2,4,lower,0,4.3700000000000045,3.038942976356053
2015-02-05,141.96,147.74,140.34,147.6,46291340,2015,2,5,lower,0,7.400000000000006,5.00879924191147
2015-02-06,148.0,152.2,147.13,151.6,54142610,2015,2,6,lower,0,5.069999999999993,3.331143232588695
2015-02-09,151.75,153.95,147.7,149.3,52241540,2015,2,9,lower,0,6.25,4.059759662227997
2015-02-10,148.88,151.9,148.07,149.31,31175990,2015,2,10,lower,0,3.8300000000000125,2.521395655036216
2015-02-11,150.3,153.83,149.88,150.55,41820760,2015,2,11,lower,0,3.950000000000017,2.567769615809671
2015-02-12,152.5,157.98,149.5,157.7,91156340,2015,2,12,lower,0,8.47999999999999,5.367768071907831
2015-02-13,158.2,162.75,158.16,162.4,89377400,2015,2,13,medium,0,4.590000000000003,2.8202764976958545
2015-02-16,162.4,163.44,158.2,160.19,29821640,2015,2,16,medium,0,5.240000000000009,3.2060695056289825
2015-02-17,159.98,164.2,156.3,159.2,59447430,2015,2,17,lower,0,7.899999999999977,4.81120584652861
2015-02-18,160.53,166.94,160.4,163.0,54912720,2015,2,18,medium,0,6.539999999999992,3.9175751767101903
2015-02-19,163.03,165.44,157.07,160.9,50473800,2015,2,19,medium,0,8.370000000000005,5.0592359767891715
2015-02-20,161.51,162.39,156.61,158.0,32332190,2015,2,20,lower,0,5.779999999999973,3.559332471211265
2015-02-24,154.79,155.75,152.82,154.99,28600570,2015,2,24,lower,0,2.930000000000007,1.8812199036918182
2015-02-25,154.82,155.15,149.22,150.7,41463370,2015,2,25,lower,0,5.930000000000007,3.8221076377699044
2015-02-26,151.05,153.77,149.1,151.65,48545040,2015,2,26,lower,0,4.670000000000016,3.037003316641748
2015-02-27,151.15,153.4,149.76,152.95,36624630,2015,2,27,lower,0,3.640000000000015,2.3728813559322126
2015-03-02,152.72,155.83,152.55,155.5,27900900,2015,3,2,lower,1,3.280000000000001,2.104857857922095
2015-03-03,155.25,160.6,153.5,159.0,47128040,2015,3,3,lower,1,7.099999999999994,4.420921544209213
2015-03-04,158.95,160.14,153.82,154.0,31912190,2015,3,4,lower,1,6.319999999999993,3.946546771574868
2015-03-05,154.78,157.75,152.63,154.8,43663160,2015,3,5,lower,1,5.1200000000000045,3.2456418383518253
2015-03-06,155.3,156.13,151.47,152.12,27153000,2015,3,6,lower,1,4.659999999999997,2.984692243643116
2015-03-10,151.3,151.7,148.05,148.05,35177360,2015,3,10,lower,1,3.6499999999999773,2.4060646011865376
2015-03-11,148.07,149.6,145.95,145.99,37535890,2015,3,11,lower,1,3.6500000000000057,2.439839572192517
2015-03-12,147.0,147.47,144.7,144.7,26593210,2015,3,12,lower,1,2.7700000000000102,1.8783481386044691
2015-03-13,145.1,146.12,141.14,141.8,32670560,2015,3,13,lower,1,4.980000000000018,3.4081576786203245
2015-03-16,141.11,142.89,139.75,139.75,36738930,2015,3,16,lower,1,3.1399999999999864,2.1974945762474536
2015-03-17,140.7,141.63,138.55,139.7,27127530,2015,3,17,lower,1,3.079999999999984,2.1746805055425997
2015-03-18,140.1,141.45,138.7,140.25,25261050,2015,3,18,lower,1,2.75,1.9441498762813716
2015-03-19,141.14,142.62,136.8,136.81,40965410,2015,3,19,lower,1,5.819999999999993,4.080774084981063
2015-03-20,137.1,138.59,134.51,136.0,56207380,2015,3,20,lower,1,4.0800000000000125,2.9439353488707787
2015-03-23,137.01,137.57,133.43,134.61,30128270,2015,3,23,lower,1,4.139999999999986,3.0093770444137435
2015-03-24,134.31,138.14,133.41,137.15,30855630,2015,3,24,lower,1,4.72999999999999,3.4240625452439484
2015-03-25,137.21,138.33,133.81,134.9,29343750,2015,3,25,lower,1,4.52000000000001,3.2675486156292997
2015-03-26,135.9,136.69,131.7,132.2,37374410,2015,3,26,lower,1,4.990000000000009,3.650596239666405
2015-03-27,132.5,134.98,132.2,134.88,32407470,2015,3,27,lower,1,2.780000000000001,2.0595643799081356
2015-03-30,134.48,137.88,134.24,137.0,26567650,2015,3,30,lower,1,3.6399999999999864,2.639976791412813
2015-03-31,136.83,139.19,136.6,138.9,34720700,2015,3,31,lower,1,2.5900000000000034,1.860765859616354
2015-04-01,138.45,143.2,137.57,143.0,46783440,2015,4,1,lower,0,5.6299999999999955,3.9315642458100526
2015-04-02,143.32,144.88,142.32,143.9,35058240,2015,4,2,lower,0,2.5600000000000023,1.7669795692987316
2015-04-03,144.0,145.65,143.02,143.94,18614060,2015,4,3,lower,0,2.6299999999999955,1.8056985925163032
2015-04-06,144.04,145.7,143.36,145.7,23373280,2015,4,6,lower,0,2.339999999999975,1.6060398078242795
2015-04-07,145.4,147.35,144.8,146.2,38076180,2015,4,7,lower,0,2.549999999999983,1.730573464540199
2015-04-08,145.83,147.3,145.13,147.27,31101850,2015,4,8,lower,0,2.170000000000016,1.4731839782756386
2015-04-09,146.96,148.74,143.72,148.1,67745770,2015,4,9,lower,0,5.02000000000001,3.3750168078526355
2015-04-10,148.3,151.9,147.0,148.0,55383440,2015,4,10,lower,0,4.900000000000006,3.2258064516129066
2015-04-13,148.25,150.0,146.3,148.8,34983000,2015,4,13,lower,0,3.6999999999999886,2.4666666666666592
2015-04-14,148.25,148.4,143.9,144.4,40080260,2015,4,14,lower,0,4.5,3.0323450134770886
2015-04-15,144.45,150.1,144.25,150.1,38667450,2015,4,15,lower,0,5.849999999999994,3.897401732178544
2015-04-16,150.6,152.87,149.12,152.4,42779640,2015,4,16,lower,0,3.75,2.4530646954929023
2015-04-17,152.5,153.55,149.3,149.3,57068550,2015,4,17,lower,0,4.25,2.767828069032888
2015-04-20,149.9,154.7,148.73,153.96,40537580,2015,4,20,lower,0,5.969999999999999,3.8590820943762116
2015-04-21,153.5,156.2,153.47,155.35,29283090,2015,4,21,lower,0,2.7299999999999898,1.747759282970544
2015-04-22,155.23,155.27,150.08,150.8,37553570,2015,4,22,lower,0,5.189999999999998,3.342564564951373
2015-04-23,150.99,151.0,146.62,150.15,39557120,2015,4,23,lower,0,4.3799999999999955,2.900662251655626
2015-04-24,150.0,154.14,149.67,153.89,35700170,2015,4,24,lower,0,4.469999999999999,2.899961074347995
2015-04-27,153.96,155.18,152.05,152.05,21995680,2015,4,27,lower,0,3.1299999999999955,2.0170125016110294
2015-04-28,151.89,153.14,149.7,152.79,25930140,2015,4,28,lower,0,3.4399999999999977,2.2463105654956235
2015-04-29,152.8,154.99,151.75,152.5,32126560,2015,4,29,lower,0,3.240000000000009,2.090457448867675
2015-04-30,152.58,154.2,151.06,153.5,28720040,2015,4,30,lower,0,3.1399999999999864,2.036316472114129
2015-05-05,154.2,158.7,153.32,156.33,33612940,2015,5,5,lower,0,5.3799999999999955,3.3900441083805894
2015-05-06,156.39,156.39,153.3,155.25,29790790,2015,5,6,lower,0,3.089999999999975,1.9758296566276459
2015-05-07,154.54,154.59,150.81,152.1,29194550,2015,5,7,lower,0,3.780000000000001,2.445177566466137
2015-05-08,152.0,155.65,151.7,155.52,22295510,2015,5,8,lower,0,3.950000000000017,2.5377449405718067
2015-05-12,155.41,157.0,152.1,154.2,35160960,2015,5,12,lower,0,4.900000000000006,3.121019108280258
2015-05-13,154.3,154.5,151.6,151.74,23717110,2015,5,13,lower,0,2.9000000000000057,1.8770226537216865
2015-05-14,151.83,153.68,151.05,151.8,19555330,2015,5,14,lower,0,2.6299999999999955,1.711348256116603
2015-05-15,152.47,154.1,151.5,152.98,20554600,2015,5,15,lower,0,2.5999999999999943,1.687216093445811
2015-05-18,153.02,154.28,151.64,151.9,17696000,2015,5,18,lower,0,2.640000000000015,1.7111744879440074
2015-05-19,151.99,152.4,148.62,149.85,25114260,2015,5,19,lower,0,3.780000000000001,2.4803149606299217
2015-05-20,149.86,149.98,146.0,146.35,20489450,2015,5,20,lower,0,3.9799999999999898,2.653687158287765
2015-05-21,146.35,148.28,144.45,147.16,23099350,2015,5,21,lower,0,3.8300000000000125,2.582951173455633
2015-05-22,147.3,149.85,146.95,148.8,22201760,2015,5,22,lower,0,2.9000000000000057,1.9352686019352725
2015-05-25,148.63,148.8,145.22,146.69,16149270,2015,5,25,lower,0,3.5800000000000125,2.405913978494632
2015-05-26,147.3,147.85,144.87,145.25,22449280,2015,5,26,lower,0,2.9799999999999898,2.0155563070679676
2015-05-27,145.62,147.7,144.19,147.66,27885430,2015,5,27,lower,0,3.509999999999991,2.3764387271496217
2015-05-28,147.56,149.5,146.11,146.11,27121270,2015,5,28,lower,0,3.3899999999999864,2.267558528428084
2015-05-29,146.3,148.9,139.0,139.0,55794730,2015,5,29,lower,0,9.900000000000006,6.648757555406316
2015-06-01,140.13,141.79,139.25,139.4,30782560,2015,6,1,lower,1,2.539999999999992,1.7913816207066735
2015-06-02,139.8,141.75,138.23,140.75,36298600,2015,6,2,lower,1,3.5200000000000102,2.483245149911824
2015-06-03,141.0,144.0,138.8,140.71,41053250,2015,6,3,lower,1,5.199999999999989,3.611111111111103
2015-06-04,140.96,142.39,139.3,140.2,28158830,2015,6,4,lower,1,3.089999999999975,2.170096214621796
2015-06-05,140.3,142.52,139.4,142.4,26877030,2015,6,5,lower,1,3.1200000000000045,2.189166432781367
2015-06-08,142.58,144.49,141.5,142.66,22859260,2015,6,8,lower,1,2.990000000000009,2.069347359678877
2015-06-09,142.92,146.4,141.8,146.17,24962650,2015,6,9,lower,1,4.599999999999994,3.142076502732236
2015-06-10,146.4,147.7,145.31,145.6,27921800,2015,6,10,lower,1,2.3899999999999864,1.6181448882870593
2015-06-11,146.0,146.0,144.05,145.4,18760700,2015,6,11,lower,1,1.9499999999999886,1.3356164383561566
2015-06-15,144.5,145.8,142.35,144.95,30940130,2015,6,15,lower,1,3.450000000000017,2.3662551440329334
2015-06-16,144.95,147.15,144.87,146.0,22739570,2015,6,16,lower,1,2.280000000000001,1.549439347604486
2015-06-17,146.3,148.48,145.56,147.6,24443190,2015,6,17,lower,1,2.9199999999999875,1.9665948275861984
2015-06-18,147.72,149.17,146.2,147.15,26804420,2015,6,18,lower,1,2.969999999999999,1.9910169605148482
2015-06-19,147.3,148.7,146.33,147.15,26384100,2015,6,19,lower,1,2.369999999999976,1.593813046402136
2015-06-22,147.47,149.2,146.91,148.5,19545210,2015,6,22,lower,1,2.289999999999992,1.5348525469168848
2015-06-23,148.72,149.39,145.82,146.25,25616230,2015,6,23,lower,1,3.569999999999993,2.3897181872949953
2015-06-24,146.71,148.11,145.83,146.68,18382280,2015,6,24,lower,1,2.280000000000001,1.5393963945716027
2015-06-25,146.17,147.66,143.7,143.7,21524410,2015,6,25,lower,1,3.960000000000008,2.6818366517675796
2015-06-26,143.7,145.49,142.61,145.18,16787960,2015,6,26,lower,1,2.8799999999999955,1.9795174926111727
2015-06-29,143.8,144.5,142.51,143.59,15496130,2015,6,29,lower,1,1.990000000000009,1.3771626297577917
2015-06-30,143.48,145.95,142.25,145.85,26509850,2015,6,30,lower,1,3.6999999999999886,2.535114765330585
2015-07-01,145.51,146.95,144.68,145.5,16183780,2015,7,1,lower,0,2.269999999999982,1.5447431099013147
2015-07-02,145.51,146.9,144.8,145.8,16016220,2015,7,2,lower,0,2.0999999999999943,1.4295439074200098
2015-07-03,145.83,146.05,144.0,144.33,11657130,2015,7,3,lower,0,2.0500000000000114,1.4036288942143178
2015-07-06,143.52,144.06,141.25,143.0,18776620,2015,7,6,lower,0,2.8100000000000023,1.9505761488268794
2015-07-07,142.75,144.86,142.03,142.5,28934320,2015,7,7,lower,0,2.8300000000000125,1.9536103824382245
2015-07-08,142.5,142.94,139.55,141.5,28932200,2015,7,8,lower,0,3.3899999999999864,2.371624457814458
2015-07-09,141.9,143.85,141.37,143.77,22474070,2015,7,9,lower,0,2.4799999999999898,1.7240180743830307
2015-07-10,144.0,144.7,143.5,143.9,19868430,2015,7,10,lower,0,1.1999999999999886,0.8293020041465022
2015-07-13,143.6,145.35,143.4,145.27,23794210,2015,7,13,lower,0,1.9499999999999886,1.341589267285854
2015-07-14,145.31,146.5,144.16,146.5,26926020,2015,7,14,lower,0,2.3400000000000034,1.5972696245733813
2015-07-15,141.49,143.38,141.0,142.7,28522100,2015,7,15,lower,0,2.3799999999999955,1.6599246756869825
2015-07-16,142.59,144.2,142.01,144.2,15378670,2015,7,16,lower,0,2.1899999999999977,1.5187239944521485
2015-07-17,143.69,145.64,143.4,143.6,21095810,2015,7,17,lower,0,2.2399999999999807,1.5380390002746367
2015-07-20,143.96,144.2,140.5,141.78,19865830,2015,7,20,lower,0,3.6999999999999886,2.5658807212205192
2015-07-21,141.5,142.45,139.96,141.41,22575110,2015,7,21,lower,0,2.4899999999999807,1.7479817479817348
2015-07-22,140.95,141.01,138.71,140.8,27930110,2015,7,22,lower,0,2.299999999999983,1.631089993617462
2015-07-23,140.6,140.8,138.32,138.37,20543130,2015,7,23,lower,0,2.480000000000018,1.7613636363636491
2015-07-24,138.11,138.34,135.85,136.41,30554610,2015,7,24,lower,0,2.490000000000009,1.799913257192431
2015-07-27,136.15,136.37,133.13,134.51,31601810,2015,7,27,lower,0,3.240000000000009,2.375889125174165
2015-07-28,134.4,136.36,132.77,135.05,29390020,2015,7,28,lower,0,3.5900000000000034,2.632736872983282
2015-07-29,135.2,138.7,134.35,138.7,26493280,2015,7,29,lower,0,4.349999999999994,3.136265320836334
2015-07-30,138.5,140.44,138.04,139.8,24082180,2015,7,30,lower,0,2.4000000000000057,1.70891483907719
2015-07-31,139.43,142.6,137.85,142.5,31355850,2015,7,31,lower,0,4.75,3.3309957924263673
2015-08-03,142.0,143.15,139.9,141.45,26249390,2015,8,3,lower,0,3.25,2.2703457911281872
2015-08-04,141.23,142.75,140.15,141.89,26549640,2015,8,4,lower,0,2.5999999999999943,1.821366024518385
2015-08-05,142.24,143.95,140.75,143.78,25633250,2015,8,5,lower,0,3.1999999999999886,2.222994095171927
2015-08-06,143.06,143.74,140.23,140.88,36108900,2015,8,6,lower,0,3.5100000000000193,2.4419090023653953
2015-08-07,141.07,142.2,140.5,141.34,20833760,2015,8,7,lower,0,1.6999999999999886,1.1954992967651117
2015-08-10,141.25,141.6,138.0,141.5,41617500,2015,8,10,lower,0,3.5999999999999943,2.542372881355928
2015-08-11,141.5,143.3,141.05,141.97,32830970,2015,8,11,lower,0,2.25,1.57013258897418
2015-08-12,141.22,143.2,140.1,142.99,26170790,2015,8,12,lower,0,3.0999999999999943,2.164804469273739
2015-08-13,143.3,144.5,142.72,143.7,25336670,2015,8,13,lower,0,1.7800000000000011,1.231833910034603
2015-08-14,143.7,145.45,142.9,144.8,25160600,2015,8,14,lower,0,2.549999999999983,1.753179786868328
2015-08-17,144.49,144.89,142.76,144.25,24209490,2015,8,17,lower,0,2.1299999999999955,1.470080750914484
2015-08-18,143.62,143.9,141.7,142.65,20538860,2015,8,18,lower,0,2.200000000000017,1.528839471855467
2015-08-19,142.5,143.6,139.8,140.8,30830170,2015,8,19,lower,0,3.799999999999983,2.6462395543175368
2015-08-20,140.1,143.0,139.82,142.64,35502830,2015,8,20,lower,0,3.180000000000007,2.2237762237762286
2015-08-21,141.53,143.0,140.21,140.29,25971960,2015,8,21,lower,0,2.789999999999992,1.9510489510489455
2015-08-24,139.0,139.0,134.1,135.35,51568300,2015,8,24,lower,0,4.900000000000006,3.5251798561151118
2015-08-25,135.72,141.0,135.72,140.4,44100110,2015,8,25,lower,0,5.280000000000001,3.7446808510638308
2015-08-26,140.21,141.95,138.51,140.51,34481810,2015,8,26,lower,0,3.4399999999999977,2.423388517083479
2015-08-27,141.85,144.8,141.59,144.6,32615330,2015,8,27,lower,0,3.210000000000008,2.216850828729287
2015-08-28,145.3,147.35,143.04,146.6,38320160,2015,8,28,lower,0,4.310000000000002,2.9250084832032592
2015-08-31,145.89,148.19,145.16,148.19,28825930,2015,8,31,lower,0,3.030000000000001,2.044672380052636
2015-09-01,148.19,148.2,143.7,144.5,35201510,2015,9,1,lower,1,4.5,3.0364372469635628
2015-09-02,144.1,145.5,142.25,142.57,33514300,2015,9,2,lower,1,3.25,2.2336769759450172
2015-09-03,143.68,145.95,142.7,145.3,28087010,2015,9,3,lower,1,3.25,2.2267899965741695
2015-09-04,144.9,145.13,142.17,142.8,25838880,2015,9,4,lower,1,2.960000000000008,2.0395507476056003
2015-09-07,142.51,143.4,141.32,141.67,17910740,2015,9,7,lower,1,2.0800000000000125,1.4504881450488232
2015-09-08,142.27,144.39,142.23,143.21,22287490,2015,9,8,lower,1,2.1599999999999966,1.4959484728859318
2015-09-09,144.3,145.4,144.11,144.22,21087450,2015,9,9,lower,1,1.289999999999992,0.8872077028885776
2015-09-10,143.61,144.78,142.35,142.99,24683390,2015,9,10,lower,1,2.430000000000007,1.6784086199751393
2015-09-11,143.26,143.5,141.2,142.4,25360800,2015,9,11,lower,1,2.3000000000000114,1.6027874564460012
2015-09-14,142.26,143.87,142.1,143.58,20550770,2015,9,14,lower,1,1.7700000000000102,1.2302773337040454
2015-09-15,143.55,143.8,141.45,141.95,24385460,2015,9,15,lower,1,2.3500000000000227,1.6342141863699742
2015-09-16,142.4,143.17,141.6,142.91,27457960,2015,9,16,lower,1,1.5699999999999932,1.0965984493958185
2015-09-17,142.99,143.27,142.31,142.8,14278750,2015,9,17,lower,1,0.960000000000008,0.6700635164375012
2015-09-18,143.34,143.4,139.1,139.5,44180900,2015,9,18,lower,1,4.300000000000011,2.9986052998605377
2015-09-21,140.11,140.84,138.82,139.45,20702670,2015,9,21,lower,1,2.0200000000000102,1.4342516330587973
2015-09-22,139.71,139.71,135.68,136.4,36495050,2015,9,22,lower,1,4.030000000000001,2.8845465607329475
2015-09-23,136.4,136.88,133.38,134.3,45293240,2015,9,23,lower,1,3.5,2.5569842197545296
2015-09-24,134.57,134.78,131.5,132.2,37779360,2015,9,24,lower,1,3.280000000000001,2.4335954889449485
2015-09-25,132.61,134.55,132.54,133.85,35599560,2015,9,25,lower,1,2.0100000000000193,1.4938684503902038
2015-09-28,134.1,134.27,130.37,130.9,30723290,2015,9,28,lower,1,3.9000000000000057,2.9045952185894133
2015-09-29,130.6,134.06,130.36,133.2,30520020,2015,9,29,lower,1,3.6999999999999886,2.7599582276592485
2015-09-30,133.81,135.73,132.8,134.55,43368480,2015,9,30,lower,1,2.9299999999999784,2.1586974139836284
2015-10-01,134.68,135.6,131.51,132.9,34048410,2015,10,1,lower,0,4.090000000000003,3.016224188790563
2015-10-02,132.77,133.17,131.02,131.5,26853130,2015,10,2,lower,0,2.1499999999999773,1.6144777352256345
2015-10-05,132.49,136.8,132.27,136.8,38844980,2015,10,5,lower,0,4.530000000000001,3.3114035087719302
2015-10-06,136.94,137.9,135.17,137.87,38642900,2015,10,6,lower,0,2.730000000000018,1.9796954314720943
2015-10-07,138.08,140.0,136.75,140.0,42695320,2015,10,7,lower,0,3.25,2.3214285714285716
2015-10-08,139.31,141.15,138.35,139.8,41743300,2015,10,8,lower,0,2.8000000000000114,1.98370527807298
2015-10-09,140.63,145.32,140.61,143.81,64750430,2015,10,9,lower,0,4.7099999999999795,3.2411230388108865
2015-10-12,143.88,144.99,140.72,141.7,29299720,2015,10,12,lower,0,4.27000000000001,2.945030691771853
2015-10-13,141.02,141.8,138.81,141.8,31604030,2015,10,13,lower,0,2.990000000000009,2.1086036671368187
2015-10-14,141.17,143.36,140.5,142.01,25501410,2015,10,14,lower,0,2.8600000000000136,1.9949776785714377
2015-10-15,142.34,144.16,142.21,142.61,22733980,2015,10,15,lower,0,1.9499999999999886,1.3526637069922232
2015-10-16,143.72,144.16,140.2,141.0,28896590,2015,10,16,lower,0,3.960000000000008,2.7469478357380743
2015-10-19,140.82,141.52,138.62,140.27,27830910,2015,10,19,lower,0,2.9000000000000057,2.0491803278688563
2015-10-20,140.72,140.77,138.6,140.4,28908560,2015,10,20,lower,0,2.170000000000016,1.5415216310293498
2015-10-21,140.29,140.64,138.2,139.49,32434520,2015,10,21,lower,0,2.4399999999999977,1.7349260523321943
2015-10-22,139.39,140.17,138.88,139.25,24983360,2015,10,22,lower,0,1.289999999999992,0.920311050866799
